Start date;End date;Net export [MWh] Calculated resolutions;Netherlands (export) [MWh] Calculated resolutions;Netherlands (import) [MWh] Calculated resolutions;Switzerland (export) [MWh] Calculated resolutions;Switzerland (import) [MWh] Calculated resolutions;Denmark (export) [MWh] Calculated resolutions;Denmark (import) [MWh] Calculated resolutions;Czech Republic (export) [MWh] Calculated resolutions;Czech Republic (import) [MWh] Calculated resolutions;Luxembourg (export) [MWh] Calculated resolutions;Luxembourg (import) [MWh] Calculated resolutions;Sweden (export) [MWh] Calculated resolutions;Sweden (import) [MWh] Calculated resolutions;Austria (export) [MWh] Calculated resolutions;Austria (import) [MWh] Calculated resolutions;France (export) [MWh] Calculated resolutions;France (import) [MWh] Calculated resolutions;Poland (export) [MWh] Calculated resolutions;Poland (import) [MWh] Calculated resolutions;Norway (export) [MWh] Calculated resolutions;Norway (import) [MWh] Calculated resolutions;Belgium (export) [MWh] Calculated resolutions;Belgium (import) [MWh] Calculated resolutions
Jan 3, 2023 2:00 PM;Jan 3, 2023 3:00 PM;706.25;273.50;-53.25;747.75;0.00;0.00;-545.75;1,485.00;-315.00;201.00;0.00;0.00;0.00;1,539.25;-112.50;0.00;-3,023.00;1,337.00;0.00;0.00;-1.25;0.00;-826.50
Jan 3, 2023 3:00 PM;Jan 3, 2023 4:00 PM;-930.00;297.50;-361.25;361.50;-108.50;0.00;-581.50;1,388.00;-323.00;202.75;0.00;0.00;0.00;1,228.25;-142.00;0.00;-3,451.00;1,377.00;0.00;0.00;-6.75;0.00;-811.00
Jan 3, 2023 4:00 PM;Jan 3, 2023 5:00 PM;-1,672.00;211.75;-767.25;392.00;-368.25;80.25;-584.25;1,434.00;-344.00;224.00;0.00;0.00;0.00;1,338.25;-226.25;0.00;-3,885.00;1,372.00;0.00;0.00;-140.00;0.00;-409.25
Jan 3, 2023 5:00 PM;Jan 3, 2023 6:00 PM;1,144.25;126.25;-953.00;554.00;-2.25;0.00;-412.75;1,487.00;-447.00;356.00;0.00;0.00;0.00;1,444.75;-95.75;0.00;-2,970.00;1,321.00;0.00;0.00;-5.75;741.75;0.00
Jan 3, 2023 6:00 PM;Jan 3, 2023 7:00 PM;1,277.50;253.50;-1,016.50;712.75;0.00;119.75;-313.00;1,523.00;-542.00;353.50;0.00;0.00;0.00;857.75;-52.50;0.00;-2,361.00;1,346.00;0.00;0.00;-13.50;409.75;0.00
Jan 3, 2023 7:00 PM;Jan 3, 2023 8:00 PM;2,286.00;618.25;-922.50;1,023.00;0.00;90.25;-202.00;1,721.00;-483.00;336.75;0.00;0.00;0.00;1,166.50;-66.00;0.00;-2,175.00;1,812.00;0.00;0.00;-287.75;0.00;-345.50
Jan 3, 2023 8:00 PM;Jan 3, 2023 9:00 PM;6,746.00;774.25;-738.75;2,010.00;0.00;538.00;-164.50;2,130.00;-399.00;312.25;0.00;0.00;0.00;1,995.00;-36.25;0.00;-1,419.00;2,051.00;0.00;11.25;-71.75;0.00;-246.50
Jan 3, 2023 9:00 PM;Jan 3, 2023 10:00 PM;7,380.50;1,002.75;-1,159.00;2,186.75;0.00;935.50;0.00;2,011.00;-488.00;203.50;0.00;0.00;0.00;2,251.50;-162.50;0.00;-1,793.00;1,821.00;0.00;453.00;0.00;118.00;0.00
Jan 3, 2023 10:00 PM;Jan 3, 2023 11:00 PM;8,760.25;1,190.50;-1,827.25;2,636.25;0.00;770.00;0.00;2,026.00;-663.00;215.75;0.00;0.00;0.00;2,436.50;-86.25;10.00;-1,256.00;1,749.00;0.00;1,040.00;0.00;518.75;0.00
Jan 3, 2023 11:00 PM;Jan 4, 2023 12:00 AM;9,988.25;1,489.75;-2,117.50;3,148.75;0.00;852.50;0.00;1,908.00;-661.00;122.00;0.00;0.00;0.00;2,664.25;-104.25;104.00;-960.00;1,565.00;0.00;1,384.00;0.00;592.75;0.00
Jan 4, 2023 12:00 AM;Jan 4, 2023 1:00 AM;7,380.75;1,457.75;-2,958.00;3,129.75;0.00;903.25;0.00;1,587.00;-573.00;39.25;0.00;150.00;0.00;2,308.75;-45.25;0.00;-1,317.00;1,080.00;0.00;1,398.50;0.00;219.75;0.00
Jan 4, 2023 1:00 AM;Jan 4, 2023 2:00 AM;8,631.50;1,498.25;-2,924.25;3,012.50;0.00;966.00;0.00;1,879.00;-340.00;79.25;0.00;449.00;0.00;2,608.50;-159.00;35.00;-1,309.00;1,252.00;0.00;1,399.75;0.00;184.50;0.00
Jan 4, 2023 2:00 AM;Jan 4, 2023 3:00 AM;8,808.00;1,521.75;-2,795.50;2,851.25;0.00;937.00;0.00;2,051.00;-190.00;29.00;0.00;481.00;0.00;2,750.50;-225.50;0.00;-1,366.00;1,638.00;0.00;1,399.75;0.00;0.00;-274.25
Jan 4, 2023 3:00 AM;Jan 4, 2023 4:00 AM;7,312.50;1,503.50;-2,956.75;2,459.25;0.00;1,037.50;0.00;2,007.00;-176.00;6.75;0.00;481.00;0.00;2,692.00;-313.50;0.00;-1,848.00;1,571.00;0.00;1,400.00;0.00;0.00;-551.25
Jan 4, 2023 4:00 AM;Jan 4, 2023 5:00 AM;6,763.50;1,529.25;-2,847.00;2,449.00;0.00;989.25;0.00;2,062.00;-194.00;6.00;-1.00;481.00;0.00;2,665.00;-361.75;0.00;-2,030.00;1,404.00;0.00;1,399.75;0.00;0.00;-788.00
Jan 4, 2023 5:00 AM;Jan 4, 2023 6:00 AM;8,646.75;1,586.50;-2,881.00;2,711.75;0.00;1,038.75;0.00;2,046.00;-245.00;18.50;-1.25;481.00;0.00;2,549.50;-136.25;0.00;-1,492.00;1,499.00;0.00;1,399.00;0.00;85.25;-13.00
Jan 4, 2023 6:00 AM;Jan 4, 2023 7:00 AM;11,911.50;1,585.25;-2,015.50;3,270.25;0.00;1,321.50;0.00;2,005.00;-180.00;124.50;0.00;481.00;0.00;2,302.25;-41.75;330.00;-780.00;1,632.00;0.00;1,385.25;0.00;491.75;0.00
